"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","preyTaxon","preyCount","uniqueIdentifierFish","GMT_TIME","DECDEG_BEGLAT","DECDEG_BEGLON","AVGDEPTH","date","time_local","preytype_stnd","resolved_names","resolved_id_fromgnr","scientificName_fish","scientificNameID_fish","vernacularName","lon_match","lat_match","depth_match"
201402,282,"201402-282",44.0888283333333,-71.1333333333333,330,1318,101,"GoM",142,"A. aestivalis","Centropages spp.",1,"201402_282_330_A_aestivalis",18:18:52,44.088828,-68.100295,"101",2014-05-17,"13:18:00","Centropages spp.","Centropages",85761,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Centropages spp.",270,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Centropages spp.","Centropages",85761,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,263,3,180,"GoM",188,"A. aestivalis","Calanus spp.",9,"201402_273_263_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Calanus spp.","Calanus",85263,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,264,3,180,"GoM",170,"A. aestivalis","Calanus spp.",80,"201402_273_264_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Calanus spp.","Calanus",85263,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,282,"201402-282",44.0888283333333,-71.1333333333333,330,1318,101,"GoM",142,"A. aestivalis","Calanus spp.",536,"201402_282_330_A_aestivalis",18:18:52,44.088828,-68.100295,"101",2014-05-17,"13:18:00","Calanus spp.","Calanus",85263,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Calanus spp.",535,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Calanus spp.","Calanus",85263,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,276,"201402-276",44.2513783333333,-69.0033333333333,258,1703,70,"GoM",132,"A. aestivalis","Calanoida",19,"201402_276_258_A_aestivalis",22:03:14,44.251378,-67.914183,"70",2014-05-16,"17:03:00","Calanoida","Calanoida",85258,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,274,"201402-274",44.3150183333333,-69.3833333333333,272,203,164,"GoM",207,"A. aestivalis","Calanoida",30,"201402_274_272_A_aestivalis",07:03:34,44.315018,-67.283932,"164",2014-05-16,"02:03:00","Calanoida","Calanoida",85258,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,274,"201402-274",44.3150183333333,-69.55,274,203,164,"GoM",155,"A. aestivalis","Calanoida",30,"201402_274_274_A_aestivalis",07:03:34,44.315018,-67.283932,"164",2014-05-16,"02:03:00","Calanoida","Calanoida",85258,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Calanoida",535,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Calanoida","Calanoida",85258,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
