"cruise","station","cruise_station","decimalLatitude","decimalLongitude","decimalLongitude_flag","time_UTC","time_local","date","region","average_depth","FishNum","forkLength","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","preyTaxon","scientificName_preyTaxon","scientificNameID_preyTaxon","preyCount"
201302,13,"201302-13",37.7404133333333,-74.7186716666667,1,18:34:47,"13:34:00",2013-03-16,"MAB",48,22,219,"C. harengus","201302_13_22_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,270
201302,124,"201302-124",39.5307,-72.8928433333333,1,22:09:45,"17:09:00",2013-03-27,"SNE",60,40,226,"C. harengus","201302_124_40_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,20
201302,206,"201302-206",41.1313133333333,-69.2895816666667,1,06:30:11,"01:30:00",2013-04-10,"GoM",52,46,224,"C. harengus","201302_206_46_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,2
201302,206,"201302-206",41.1313133333333,-69.2895816666667,1,06:30:11,"01:30:00",2013-04-10,"GoM",52,47,211,"C. harengus","201302_206_47_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,2
201302,70,"201302-70",37.2542116666667,-75.0722883333333,1,00:46:23,"19:46:00",2013-03-22,"MAB",36,53,213,"C. harengus","201302_70_53_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,265
201302,70,"201302-70",37.2542116666667,-75.0722883333333,1,00:46:23,"19:46:00",2013-03-22,"MAB",36,54,220,"C. harengus","201302_70_54_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,820
201302,122,"201302-122",39.6457116666667,-73.1723066666667,1,18:05:52,"13:05:00",2013-03-27,"SNE",43,72,199,"C. harengus","201302_122_72_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,264
201302,122,"201302-122",39.6457116666667,-73.1723066666667,1,18:05:52,"13:05:00",2013-03-27,"SNE",43,74,177,"C. harengus","201302_122_74_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,177
201302,121,"201302-121",39.6712433333333,-73.2914583333333,1,16:12:43,"11:12:00",2013-03-27,"SNE",42,86,180,"C. harengus","201302_121_86_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,88
201302,121,"201302-121",39.6712433333333,-73.2914583333333,1,16:12:43,"11:12:00",2013-03-27,"SNE",42,87,170,"C. harengus","201302_121_87_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,235
